rfq_id,segment,region,customer_tier,urgency,competitor_count,discount,quoted_price,cost,won
8ff4ce1f-bb66-4895-859a-04a44626491e,Retail,US,Standard,High,5,6.3,81263,70171,0
ea01aa98-d261-483d-b62e-9402188e4e10,Retail,EU,Strategic,High,2,8.0,74877,66436,1
a92d2e60-870a-40ab-98b5-1e7d91a65c9f,Technology,ME,Strategic,Medium,2,10.9,86375,76089,1
fd70da46-07bb-4b47-8a86-cb4eb91aa0fb,Healthcare,APAC,Standard,Medium,2,9.9,87431,81488,0
9070d9a9-de7b-4c38-a458-aaddda4de863,Retail,US,Strategic,Medium,3,13.3,70344,72983,1
fe3bb119-b6ab-4542-88d7-10d28c0cb70a,Manufacturing,ME,Standard,High,2,2.2,90936,72153,1
6d19edee-cb7d-43fb-aec8-f85c33b4cd57,Manufacturing,APAC,Standard,High,5,13.1,77928,72092,1
219997b8-4569-492d-9f19-50050892b63a,Healthcare,ME,Standard,Low,1,6.5,98169,79722,0
7694c330-f7fe-4bcf-ab7d-3d9c0cf925b0,Healthcare,APAC,Strategic,Medium,1,9.3,92115,81149,1
3eca5339-39ad-4d01-b529-e5d84da95eaa,Healthcare,APAC,Standard,Medium,3,6.9,94761,76722,1
c7b54c87-ccb2-4fb5-8e7a-d338fee0f458,Manufacturing,APAC,Standard,Medium,1,9.4,81916,75151,1
81562d8f-aab9-4e8e-aff9-5f5bb2e8f42f,Healthcare,US,Standard,Low,5,9.5,99749,77398,0
79692eeb-047f-44be-808d-c92c363b3ecc,Manufacturing,ME,Strategic,Low,4,15.5,79307,76034,1
236a6b2c-b435-4385-a3ba-c2d74f162d49,Healthcare,APAC,Standard,High,1,12.7,85226,75047,1
595e418c-9d8d-4968-9406-de6daa64669c,Healthcare,APAC,Strategic,Medium,3,17.5,79847,75232,0
c872c43b-7eed-4190-afc5-235ba68a072d,Manufacturing,APAC,Standard,Medium,1,9.7,83888,77878,1
ce9af51a-97f2-4b57-a7f8-f13a1049f2ec,Healthcare,APAC,Standard,Medium,2,13.1,81933,81856,0
9933ab99-ff36-4992-99be-9ee282afaa26,Technology,ME,Standard,Medium,3,13.1,89232,84172,1
1dd10367-d0ae-4f3f-9ee9-93dff2375921,Technology,ME,Standard,Medium,4,3.8,101359,75774,0
64a82c64-6ce1-4480-961e-755f69962b36,Technology,APAC,Standard,Low,4,11.9,95331,83319,1
eb70dd08-b060-485d-b06c-68b6fedcd373,Retail,US,Strategic,High,4,8.7,75727,69566,1
a2cc658a-3507-46a8-8d9d-30ee68a43f3a,Technology,US,Standard,High,1,14.8,87796,82341,1
fc1ecfde-742b-4b11-ad48-d5999824fb19,Manufacturing,ME,Standard,Low,2,10.6,86557,73013,1
6624ebd2-1b5e-49bf-9fce-efb1b3fc7548,Technology,APAC,Standard,Medium,4,9.9,88368,80942,1
368a10d0-9610-4e03-8f3f-5e86f28b2564,Manufacturing,ME,Standard,High,3,20.0,74065,75950,1
2b1efbb8-556c-424f-b79e-1859863b2193,Retail,US,Strategic,Medium,1,9.9,70935,73750,0
3f02d206-109e-4ada-bf89-f4fab02a1db3,Technology,ME,Standard,Medium,5,6.2,95548,81609,0
5825f59a-a3df-4dff-8703-6d47b56cb066,Manufacturing,APAC,Standard,High,2,3.0,94107,74242,0
0b7abaf6-fc37-4410-abce-0226d748f2e3,Healthcare,ME,Standard,Medium,5,3.8,93750,74965,0
ac389d6b-b628-4214-b4ce-71705ae25456,Technology,ME,Strategic,Low,4,10.8,92044,84909,1
4e7f1fad-967d-45c2-94f1-6605137d2f3c,Retail,EU,Standard,Low,5,8.3,86641,72350,1
61767982-bc56-4824-9457-3bc7cd1dd92a,Technology,US,Standard,Medium,5,11.7,100423,77640,0
d15a33f9-a188-47a9-9d36-a28931fabdd7,Technology,ME,Standard,High,3,8.2,85674,83949,1
